Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
15946,"IMPRESSO PRONTO , IMPRESSO PRONTO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,08306: IMPRESSO PRONTO                                                                                     ,Ativo,Não
16250,"PUBLICAÇÃO TÉCNICA , PUBLICACAO TECNICA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,11333: PUBLICAÇÃO TÉCNICA                                                                                  ,Ativo,Não
29270,"LIVRO TÉCNICO , LIVRO TECNICO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,08895: LIVRO TÉCNICO                                                                                       ,Inativo,Não
29289,"LIVRO NAO TECNICO , LIVRO NAO TECNICO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,08890: LIVRO NAO TECNICO                                                                                   ,Inativo,Não
29297,"FOLHETO TECNICO , FOLHETO TECNICO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,07702: FOLHETO TECNICO                                                                                     ,Ativo,Não
29300,"FOLHETO NAO TECNICO , FOLHETO NAO TECNICO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,07701: FOLHETO NAO TECNICO                                                                                 ,Ativo,Não
29319,"DICIONÁRIO , DICIONARIO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,06170: DICIONÁRIO                                                                                          ,Ativo,Não
29327,"ENCICLOPÉDIA , ENCICLOPEDIA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,06549: ENCICLOPÉDIA                                                                                        ,Ativo,Não
29335,"MANUAL TÉCNICO DE SUPRIMENTO , MANUAL TECNICO DE SUPRIMENTO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,09133: MANUAL TÉCNICO DE SUPRIMENTO                                                                        ,Ativo,Não
29343,"MANUAL TÉCNICO DE MANUTENÇÃO , MANUAL TECNICO DE MANUTENCAO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,09131: MANUAL TÉCNICO DE MANUTENÇÃO                                                                        ,Ativo,Não
29351,"MANUAL TÉCNICO DE OPERAÇÃO , MANUAL TECNICO DE OPERACAO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,09132: MANUAL TÉCNICO DE OPERAÇÃO                                                                          ,Ativo,Não
29360,"MANUAL TÉCNICO DE INSPEÇÃO , MANUAL TECNICO DE INSPECAO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,09130: MANUAL TÉCNICO DE INSPEÇÃO                                                                          ,Ativo,Não
29378,"MANUAL DE PESSOAL , MANUAL DE PESSOAL NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,09129: MANUAL DE PESSOAL                                                                                   ,Ativo,Não
29386,"MANUAL DE ORGANIZAÇÃO , MANUAL DE ORGANIZACAO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,09128: MANUAL DE ORGANIZAÇÃO                                                                               ,Ativo,Não
29394,"LISTA DE ESTOQUE , LISTA DE ESTOQUE NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,08883: LISTA DE ESTOQUE                                                                                    ,Ativo,Não
29408,"LISTA DE CLASSIFICAÇÃO , LISTA DE CLASSIFICACAO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,08882: LISTA DE CLASSIFICAÇÃO                                                                              ,Ativo,Não
29416,"LIVRO DE MUSICA , LIVRO DE MUSICA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7660: FOLHAS E LIVROS DE MÚSICA                                                                                               ,08888: LIVRO DE MUSICA                                                                                     ,Inativo,Não
29424,"FOLHETO DE MUSICA , FOLHETO DE MUSICA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7660: FOLHAS E LIVROS DE MÚSICA                                                                                               ,07700: FOLHETO DE MUSICA                                                                                   ,Ativo,Não
29432,"NORMA TÉCNICA , NORMA TECNICA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,10124: NORMA TÉCNICA                                                                                       ,Ativo,Não
29440,"PUBLICAÇÃO PERIÓDICA , PUBLICACAO PERIODICA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7630: JORNAIS E PERIÓDICOS                                                                                                    ,11332: PUBLICAÇÃO PERIÓDICA                                                                                ,Ativo,Não
29459,"JORNAL , JORNAL NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7630: JORNAIS E PERIÓDICOS                                                                                                    ,08564: JORNAL                                                                                              ,Ativo,Não
29467,"MAPA GEOGRÁFICO , MAPA GEOGRAFICO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7640: MAPAS, CARTAS E GLOBOS GEOGRÁFICOS                                                                                      ",09136: MAPA GEOGRÁFICO                                                                                     ,Ativo,Não
29475,"ATLAS GEOGRÁFICO , ATLAS GEOGRAFICO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7640: MAPAS, CARTAS E GLOBOS GEOGRÁFICOS                                                                                      ",03117: ATLAS GEOGRÁFICO                                                                                    ,Ativo,Não
29483,"CARTA GRÁFICA , CARTA GEOGRAFICA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7640: MAPAS, CARTAS E GLOBOS GEOGRÁFICOS                                                                                      ",04640: CARTA GRÁFICA                                                                                       ,Inativo,Não
29491,"GLOBO GEOGRAFICO , GLOBO GEOGRAFICO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7640: MAPAS, CARTAS E GLOBOS GEOGRÁFICOS                                                                                      ",08016: GLOBO GEOGRAFICO                                                                                    ,Ativo,Não
29505,"MAPA DE INSTRUCAO , MAPA DE INSTRUCAO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7640: MAPAS, CARTAS E GLOBOS GEOGRÁFICOS                                                                                      ",09135: MAPA DE INSTRUCAO                                                                                   ,Ativo,Não
29521,"NORMA TECNICA OFICIAL , NORMA TECNICA OFICIAL NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,10125: NORMA TECNICA OFICIAL                                                                               ,Inativo,Não
29530,"PLANTA DE ENGENHARIA , PLANTA DE ENGENHARIA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7650: DESENHOS E ESPECIFICAÇÕES                                                                                               ,10881: PLANTA DE ENGENHARIA                                                                                ,Ativo,Não
29548,"MICROFILME REVELADO , MICROFILME REVELADO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7670: MICROFILMES REVELADOS                                                                                                   ,09731: MICROFILME REVELADO                                                                                 ,Ativo,Não
29556,"DECALCOMANIA , DECALCOMANIA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,06041: DECALCOMANIA                                                                                        ,Ativo,Não
29564,"RÓTULO IMPRESSO , ROTULO IMPRESSO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,11846: RÓTULO IMPRESSO                                                                                     ,Ativo,Não
29572,"CARDÁPIO , CARDAPIO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,04538: CARDÁPIO                                                                                            ,Ativo,Não
29580,"PROGRAMA IMPRESSO , PROGRAMA IMPRESSO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,11254: PROGRAMA IMPRESSO                                                                                   ,Ativo,Não
33316,"LIVRO E FOLHETOS , LIVRO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,08885: LIVRO E FOLHETOS                                                                                    ,Inativo,Não
33553,"PROGRAMA DE EVENTO , PROGRAMA DE EVENTO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,11253: PROGRAMA DE EVENTO                                                                                  ,Ativo,Não
54771,"REGULAMENTO , REGULAMENTO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,11604: REGULAMENTO                                                                                         ,Ativo,Não
54780,"MANUAL DE INSTRUÇÃO , MANUAL DE INSTRUCAO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,09127: MANUAL DE INSTRUÇÃO                                                                                 ,Ativo,Não
54798,"ORDEM TECNICA , ORDEM TECNICA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7650: DESENHOS E ESPECIFICAÇÕES                                                                                               ,10222: ORDEM TECNICA                                                                                       ,Ativo,Não
54801,"ESPECIFICACAO DE ENTIDADES OFICIAIS , ESPECIFICACAO DE ENTIDADES OFICIAIS NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7650: DESENHOS E ESPECIFICAÇÕES                                                                                               ,06999: ESPECIFICACAO DE ENTIDADES OFICIAIS                                                                 ,Ativo,Não
54810,"ESPECIFICACAO DE ENTIDADE NAO OFICIAL , ESPECIFICACAO DE ENTIDADE NAO OFICIAL NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7650: DESENHOS E ESPECIFICAÇÕES                                                                                               ,06998: ESPECIFICACAO DE ENTIDADE NAO OFICIAL                                                               ,Ativo,Não
54828,"LIVRO DE HINOS , LIVRO DE HINOS NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7660: FOLHAS E LIVROS DE MÚSICA                                                                                               ,08887: LIVRO DE HINOS                                                                                      ,Inativo,Não
54836,"CARTAZ , CARTAZ IMPRESSO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,04659: CARTAZ                                                                                              ,Ativo,Não
54844,"ETIQUETA IMPRESSA , ETIQUETA IMPRESSA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,07224: ETIQUETA IMPRESSA                                                                                   ,Inativo,Não
67199,"CARTA NAVEGAÇÃO AÉREA , CARTA NAVEGACAO AEREA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7640: MAPAS, CARTAS E GLOBOS GEOGRÁFICOS                                                                                      ",04642: CARTA NAVEGAÇÃO AÉREA                                                                               ,Ativo,Não
67440,"CARTA NÁUTICA , CARTA NAUTICA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7640: MAPAS, CARTAS E GLOBOS GEOGRÁFICOS                                                                                      ",04641: CARTA NÁUTICA                                                                                       ,Ativo,Não
72877,"CARTA TOPOGRÁFICA , CARTA TOPOGRAFICA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7640: MAPAS, CARTAS E GLOBOS GEOGRÁFICOS                                                                                      ",04643: CARTA TOPOGRÁFICA                                                                                   ,Ativo,Não
91022,"LIVRO DIDATICO ESCOLAR , LIVRO DIDATICO ESCOLAR NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,08889: LIVRO DIDATICO ESCOLAR                                                                              ,Inativo,Não
91138,"REVISTA , REVISTA OU MAGAZINE NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7630: JORNAIS E PERIÓDICOS                                                                                                    ,11742: REVISTA                                                                                             ,Ativo,Não
91154,"MICROFICHA , MICROFICHA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7670: MICROFILMES REVELADOS                                                                                                   ,09729: MICROFICHA                                                                                          ,Ativo,Não
91162,"CARTAO - POSTAL , CARTAO - POSTAL NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,04645: CARTAO - POSTAL                                                                                     ,Ativo,Não
91170,"CALENDÁRIO , CALENDARIO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,04240: CALENDÁRIO                                                                                          ,Ativo,Não
91197,"SELO POSTAL , SELO POSTAL NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,11993: SELO POSTAL                                                                                         ,Ativo,Não
99252,"LISTA DE INFORMACOES SOBRE AUTORIDADES , LISTA DE INFORMACOES SOBRE AUTORIDADES NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,08884: LISTA DE INFORMACOES SOBRE AUTORIDADES                                                              ,Ativo,Não
104370,"LIVRO PARADIDATICO , LIVRO PARADIDATICO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,08891: LIVRO PARADIDATICO                                                                                  ,Inativo,Não
104400,"LIVRO RARO - NACIONAL / IMPORTADO , LIVRO RARO - NACIONAL / IMPORTADO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,08892: LIVRO RARO - NACIONAL / IMPORTADO                                                                   ,Ativo,Não
108022,"TESTES PSICOLÓGICOS , TESTES PSICOLOGICOS NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,12698: TESTES PSICOLÓGICOS                                                                                 ,Ativo,Não
116190,"ETIQUETA PERSONALIZADA , ETIQUETA PERSONALIZADA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,07227: ETIQUETA PERSONALIZADA                                                                              ,Ativo,Não
126888,"MAPA , MAPA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7640: MAPAS, CARTAS E GLOBOS GEOGRÁFICOS                                                                                      ",09134: MAPA                                                                                                ,Ativo,Não
150000,"LIVRO FILOSOFIA E PSICOLOGIA , NOME LIVRO FILOSOFIA E PSICOLOGIA","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,14507: LIVRO FILOSOFIA E PSICOLOGIA                                                                        ,Ativo,Não
150001,"LIVRO RELIGIÃO E TEOLOGIA , NOME LIVRO RELIGIÃO E TEOLOGIA","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,14508: LIVRO RELIGIÃO E TEOLOGIA                                                                           ,Ativo,Não
150002,"LIVRO C. SOC/ESTAT/POLÍT/ECON/COMÉRCIO E DIREITO , NOME LIVRO CIÊNCIAS SOCIAIS/ESTATÍSTICA/POLÍTICA/","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,14509: LIVRO C. SOC/ESTAT/POLÍT/ECON/COMÉRCIO E DIREITO                                                    ,Ativo,Não
150003,"LIVRO ADM/GOV/ASS MIL/ASSIST SOC/SEG/EDUC/FOLCLORE , NOME LIVRO ADMINISTRAÇÃO/GOVERNO/ASSUNTOS MILITARES/","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,14510: LIVRO ADM/GOV/ASS MIL/ASSIST SOC/SEG/EDUC/FOLCLORE                                                  ,Ativo,Não
150004,"LIVRO MATEMÁTICA E CIÊNCIAS NATURAIS , NOME LIVRO MATEMÁTICA E CIÊNCIAS NATURAIS","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,14511: LIVRO MATEMÁTICA E CIÊNCIAS NATURAIS                                                                ,Ativo,Não
150005,"LIVRO CIÊNCIAS APLICADAS/MEDICINA E TECNOLOGIA , NOME LIVRO CIÊNCIAS APLICADAS/MEDICINA/TECNOLOGIA","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,14512: LIVRO CIÊNCIAS APLICADAS/MEDICINA E TECNOLOGIA                                                      ,Ativo,Não
150006,"LIVRO ARTES/RECREAÇÃO/DIVERSÕES E ESPORTES , NOME LIVRO ARTES/RECREAÇÃO/DIVERSÕES/ESPORTES","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,14513: LIVRO ARTES/RECREAÇÃO/DIVERSÕES E ESPORTES                                                          ,Inativo,Não
150007,"LIVRO LÍNGUA/LINGUÍSTICA E LITERATURA , NOME LIVRO LÍNGUA/LINGUÍSTICA/LITERATURA","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,14514: LIVRO LÍNGUA/LINGUÍSTICA E LITERATURA                                                               ,Ativo,Não
150008,"LIVRO GEOGRAFIA/BIOGRAFIA/HISTÓRIA , NOME LIVRO GEOGRAFIA/BIOGRAFIA/HISTÓRIA","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,14515: LIVRO GEOGRAFIA/BIOGRAFIA/HISTÓRIA                                                                  ,Ativo,Não
150009,"LIVRO INFORMÁTICA , NOME LIVRO INFORMÁTICA","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,14516: LIVRO INFORMÁTICA                                                                                   ,Ativo,Não
150032,"FITA VÍDEO GRAVADA , FITA VÍDEO GRAVADA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,14166: FITA VÍDEO GRAVADA                                                                                  ,Ativo,Não
150115,"FAIXA DIVULGAÇÃO DE EVENTOS , FAIXA DIVULGAÇÃO DE EVENTOS NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,15691: FAIXA DIVULGAÇÃO DE EVENTOS                                                                         ,Ativo,Não
150176,"FITA GRAVADA , FITA GRAVADA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,14163: FITA GRAVADA                                                                                        ,Ativo,Não
150515,"LIVRO , LIVRO NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,17228: LIVRO                                                                                               ,Ativo,Não
150885,"CARTA GRÁFICA , CARTA GRÁFICA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7640: MAPAS, CARTAS E GLOBOS GEOGRÁFICOS                                                                                      ",04640: CARTA GRÁFICA                                                                                       ,Ativo,Não
197610,"LIVRO , LIVROS E FOLHETOS NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,17228: LIVRO                                                                                               ,Inativo,Não
197630,"JORNAIS E PERIÓDICOS , JORNAIS E PERIÓDICOS NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7630: JORNAIS E PERIÓDICOS                                                                                                    ,17229: JORNAIS E PERIÓDICOS                                                                                ,Inativo,Não
197640,"MAPAS, CARTAS E GLOBOS GEOGRÁFICOS , MAPAS, CARTAS E GLOBOS GEOGRÁFICOS NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7640: MAPAS, CARTAS E GLOBOS GEOGRÁFICOS                                                                                      ","17230: MAPAS, CARTAS E GLOBOS GEOGRÁFICOS                                                                  ",Inativo,Não
197641,"MAPAS AERONÁUTICOS, CARTAS E PRODUTOS GEODÉSICOS , MAPAS AERONÁUTICOS, CARTAS E PRODUTOS GE NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7641: MAPAS AERONÁUTICOS, CARTAS E PRODUTOS GEODÉSICOS                                                                        ","17231: MAPAS AERONÁUTICOS, CARTAS E PRODUTOS GEODÉSICOS                                                    ",Inativo,Não
197642,"MAPAS HIDROGRÁFICOS, CARTAS E PRODUTOS GEODÉSICOS , MAPAS HIDROGRÁFICOS, CARTAS E PRODUTOS G NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7642: MAPAS HIDROGRÁFICOS, CARTAS E PRODUTOS GEODÉSICOS                                                                       ","17232: MAPAS HIDROGRÁFICOS, CARTAS E PRODUTOS GEODÉSICOS                                                   ",Inativo,Não
197643,"MAPAS TOPOGRÁFICOS, CARTAS E PRODUTOS GEODÉSICOS , MAPAS TOPOGRÁFICOS, CARTAS E PRODUTOS GE NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7643: MAPAS TOPOGRÁFICOS, CARTAS E PRODUTOS GEODÉSICOS                                                                        ","17233: MAPAS TOPOGRÁFICOS, CARTAS E PRODUTOS GEODÉSICOS                                                    ",Inativo,Não
197644,"MAPAS DIGITAIS, CARTAS E PRODUTOS GEODÉSICOS , MAPAS DIGITAIS, CARTAS E PRODUTOS GEODÉS NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ","7644: MAPAS DIGITAIS, CARTAS E PRODUTOS GEODÉSICOS                                                                            ","17234: MAPAS DIGITAIS, CARTAS E PRODUTOS GEODÉSICOS                                                        ",Inativo,Não
197650,"DESENHOS E ESPECIFICAÇÕES , DESENHOS E ESPECIFICAÇÕES NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7650: DESENHOS E ESPECIFICAÇÕES                                                                                               ,17235: DESENHOS E ESPECIFICAÇÕES                                                                           ,Inativo,Não
197660,"FOLHAS E LIVROS DE MÚSICA , FOLHAS E LIVROS DE MÚSICA NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7660: FOLHAS E LIVROS DE MÚSICA                                                                                               ,17236: FOLHAS E LIVROS DE MÚSICA                                                                           ,Inativo,Não
197670,"MICROFILMES REVELADOS , MICROFILMES REVELADOS NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7670: MICROFILMES REVELADOS                                                                                                   ,17237: MICROFILMES REVELADOS                                                                               ,Inativo,Não
197690,"IMPRESSOS DIVERSOS , IMPRESSOS DIVERSOS NOME","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7690: IMPRESSOS DIVERSOS                                                                                                      ,17238: IMPRESSOS DIVERSOS                                                                                  ,Inativo,Não
226835,"DICIONÁRIO , CARACTERÍSTICAS ADICIONAIS DEFINE MAIS DE 30.000 PALAVRAS E LOCUÇÕES DA LÍN -, TIPO LÍNGUA PORTUGUESA, QUANTIDADE PÁGINA 481, ACABAMENTO BROCHURA, ALTURA 21,50 CM, LARGURA 14 CM, PROFUNDIDADE 2 CM, ORIGEM BRASIL, TIPO IDIOMA PORTUGUÊS","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,06170: DICIONÁRIO                                                                                          ,Ativo,Não
226840,"DICIONÁRIO , CARACTERÍSTICAS ADICIONAIS VERBETE E LOCUÇÃO, REGIONALISMO, SEPARAÇÃO SILÁBI-, TIPO LÍNGUA PORTUGUESA, QUANTIDADE PÁGINA 790, ACABAMENTO BROCHURA, ALTURA 17 CM, LARGURA 12 CM, PROFUNDIDADE 3 CM, ORIGEM BRASIL, TIPO IDIOMA PORTUGUÊS","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,06170: DICIONÁRIO                                                                                          ,Ativo,Não
226842,"DICIONÁRIO , CARACTERÍSTICAS ADICIONAIS CAPA TECIDO LUXUOSO COM RELEVO DOURADO, PÁGINA IM-, TIPO LÍNGUA PORTUGUESA, QUANTIDADE PÁGINA 2.922, ACABAMENTO BROCHURA, ALTURA 17 CM, LARGURA 12 CM, PROFUNDIDADE 3 CM, ORIGEM BRASIL, TIPO IDIOMA PORTUGUÊS","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,06170: DICIONÁRIO                                                                                          ,Ativo,Não
226844,"DICIONÁRIO , CARACTERÍSTICAS ADICIONAIS INCLUI TERMOS TÉCNICOS ÁREA INFORMÁTICA, TIPO TRADUÇÃO IDIOMA, QUANTIDADE PÁGINA 313, ACABAMENTO BROCHURA, ALTURA 15,50 CM, LARGURA 11,50 CM, PROFUNDIDADE 3,50 CM, ORIGEM BRASIL, TIPO IDIOMA ESPANHOL/PORTUGUÊS","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,06170: DICIONÁRIO                                                                                          ,Ativo,Não
226846,"DICIONÁRIO , CARACTERÍSTICAS ADICIONAIS 65.000 TRADUÇÕES, TIPO TRADUÇÃO IDIOMA, QUANTIDADE PÁGINA 634, ACABAMENTO BROCHURA, ALTURA 12 CM, LARGURA 12 CM, PROFUNDIDADE 3 CM, ORIGEM BRASIL, TIPO IDIOMA PORTUGUÊS-INGLÊS/INGLÊS-PORTUGUÊS","76: LIVROS, MAPAS E OUTRAS PUBLICAÇÕES                                                                                      ",7610: LIVROS E FOLHETOS                                                                                                       ,06170: DICIONÁRIO                                                                                          ,Ativo,Não
